wallet_address,3LH7pDMG6maRkpHfQdN6hV36D6geFckDp7vTNDYTpump,5E8ifewWjdGPDCRdmvbua3YvV1QzjiZs63qJYwuFpump,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,8sxdRtLdtaYdHis1VSkCJoZUNVZXiaEKEUomzPRTpump,A4GoNqSZTvX4sSnRE1wFjEkemWm8jmbHhLgyCBAkpump,BPuNpj7eqg8R2z8jGxJqWZqxqoVritGsFpHTsNLHpump,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
2N6aJDX1TNs6RKkPsuufbAe4JjRAZPs1iLPcEUL4DX4z,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2NXe9TJQuvyYoahHvfezeVQGn1tsQ6g92bMDA4fvgMxP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2Nkr8pwFKNVeqgxiPwpxN5gnbLFkxUFtrtQwX7yXtvxS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2NzeiBrGnYjB2AmJPhS26xNiXLMAbTF952eRig1ztijF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2P5K1Lq7JPtMjcF6JZUbAHZ4FGerU24L9KBYy9D82knj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2PDSwe3krtpvWET4eesBotHVkoSoEnG6388oUwaYpe7h,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2PFrfpxEKTs4Xa2gP2wS9ZAECsoLtzHGt2zodwdGWVRH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2PLtUq8YeqAt1MjgQN6zopWnKLotiAz171qZYzeL71XE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2PWikhyNB4sS8nFoZNqc5dTmbm3dDmNnGZx8C64zSmgq,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2PYQm5LJav8wVtbmyEJ8rjiNS7LRqgeG73yyBKjZ1Rvr,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
